"Second Chance","Tweede kans"
"Enable Second Chance","Tweede kans inschakelen"
"Second Chance enabled","Tweede kans ingeschakeld"
"Enables or disables Second Chance mode","Schakelt Tweedekansmodus in of uit"
"Second Chance 1 email enabled","Tweede kans 1 e-mail ingeschakeld"
"Enables or disables Second Chance 1 email","Schakelt Second Chance 1-e-mail in of uit"
"Second chance Template","Tweede kans sjabloon"
"Email template chosen based on theme fallback when 'Default' option is selected.","E-mailsjabloon gekozen op basis van thema fallback wanneer de optie 'Standaard' is geselecteerd."
"Due hours (between 0 and 24hr)","Vervaldagen (tussen 0 en 24 uur)"
"Timing for this second-chance email .","Timing voor deze tweede kans e-mail."
"Second Chance 2 email enabled","Tweede kans 2 e-mail ingeschakeld"
"Enables or disables Second Chance 2 email","Schakelt Second Chance 2-e-mail in of uit"
"Second chance second e-mail Template","Tweede kans tweede e-mailsjabloon"
"Second email template chosen based on theme fallback when 'Default' option is selected.","Tweede e-mailsjabloon gekozen op basis van thema fallback wanneer de optie 'Standaard' is geselecteerd."
"Due hours (between 0 and 72hr)","Uitgerekende uren (tussen 0 en 72 uur)"
"Timing for sender after the first one second-chance email.","Timing voor afzender na de eerste tweede kans e-mail."
"Don't send payment reminder when product is out of stock","Stuur geen betalingsherinnering wanneer het product niet op voorraad is"
"Prune older second chance entries (days)","Snoei oudere herkansingen (dagen)"
"Timing in days, 0 to disable this.","Timing in dagen, 0 om dit uit te schakelen."
